Language,Accuracy
en,0.9
en,0.5
en,0.8
de,0.8
en,0.6
de,0.7777777777777778
en,0.7
de,0.6666666666666666
en,0.8
de,0.7777777777777778
en,0.9
de,0.5555555555555556
en,0.7
es,0.6666666666666666
en,0.6
es,0.5555555555555556
en,0.9
es,0.5555555555555556
fr,0.8
ar,1.0
bg,1.0
de,1.0
el,1.0
en,1.0
es,0.0
fr,1.0
hi,1.0
ru,1.0
sw,1.0
th,1.0
tr,0.0
ur,1.0
vi,1.0
ar,1.0
bg,1.0
de,1.0
el,1.0
en,0.0
es,0.0
fr,1.0
hi,1.0
ru,1.0
sw,1.0
th,1.0
tr,0.0
ur,1.0
vi,1.0
ar,0.0
bg,0.0
de,0.0
el,0.0
en,1.0
es,0.0
fr,0.0
hi,0.0
ru,0.0
sw,0.0
th,0.0
tr,0.0
ur,0.0
vi,0.0
en,0.4
el,0.4
en,0.4
el,0.8
bg,0.5
el,0.5
en,0.5
es,0.0
fr,0.5
th,0.0
bg,0.5
el,0.0
en,0.0
es,0.0
fr,0.5
th,1.0
bg,0.0
el,0.5
en,0.5
es,0.5
fr,0.5
th,0.0
