annotationId,language,sdg_categories,predicted
f6693106-7e94-44ba-b26b-ba8cab42d518,zh,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4
ea79e9b1-5fa5-49c9-894c-0f6d0242e224,zh,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4
6996de12-9816-4b90-8dcf-c14a5b93b5a6,zh,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4
16fa1ffa-b679-49a7-b3a5-681289bb52e4,zh,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4
a2808c49-7dfe-4fa4-a77e-f3c835cfa3f9,zh,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4
3063a58f-c5ea-437a-ab9c-f22cafbd1b7f,zh,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4
c8eb8398-fdd5-46ce-9f5e-9dc8a3aabd03,zh,['5de2d533-80be-44d9-8087-4acc3ea1c454'],5
9686043d-0d04-4a56-a484-2c6c5d314e0f,zh,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4
82eb6a8c-3c37-4ced-b6fd-92078019fdd8,zh,['5de2d533-80be-44d9-8087-4acc3ea1c454'],[4]
fb1484fa-85f8-4936-8e86-fc26a71af09a,zh,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4
118a9525-f1dc-4792-9e14-b6e0b51d9c30,zh,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4
abbf6e30-d27f-4e40-8824-de839f5228c2,zh,['5de2d533-80be-44d9-8087-4acc3ea1c454'],8
75898c89-a392-48f1-b27f-f5e813b58630,zh,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4
ffae0854-d46b-4d3b-92ea-98d280842435,zh,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4
64dce61c-5ac0-44c4-b216-d4e79b73f018,zh,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4
0b69b9a6-7b94-4d18-abfb-81a287b7da89,zh,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4
7d006acc-2dbf-4b47-85a5-a5d9670324d3,zh,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4
e1231bbf-8506-4353-9dba-45610fbf0f89,zh,['5de2d533-80be-44d9-8087-4acc3ea1c454'],1
05e10433-ec31-4e2f-9abf-75f84e90feb6,zh,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4
e06e193c-8f57-4bff-b47c-03d4538825eb,zh,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4
06354b03-deb2-4bcb-847d-3f992000e3bb,zh,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4
3d14c728-a738-45c8-bf6c-78863b698ae8,zh,['5de2d533-80be-44d9-8087-4acc3ea1c454'],[4]
cd1adcfe-342b-4e5b-b412-fcd9147bd87b,zh,['5de2d533-80be-44d9-8087-4acc3ea1c454'],5
a8a166cf-7de8-458e-8853-4a7109890e7b,zh,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4
d141a767-5fdf-4fd0-8cc9-ca832d0cd4d6,zh,['5de2d533-80be-44d9-8087-4acc3ea1c454'],16. 和平、正义与强大机构
9595e428-7990-4a50-b59d-885735d3183e,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],1
008c275d-2bcc-4a8f-a97f-8d2f4f8e7463,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16
53a78bf6-beb6-405d-8836-3f0e3828c8a2,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16
3495f77f-06fa-4d32-81f0-4a8646fe8698,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16
83fd1b5c-b72c-4921-a0b3-c5661073922b,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16. 和平、正义与强大机构
c0a0e070-f640-46d8-8773-49e1d27465b8,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],10
89181298-b8a2-4f09-88d7-855c6f972850,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16. 和平、正义与强大机构
b9b85e1f-6cb2-47df-b3bc-4a9a8a3cf469,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16. 和平、正义与强大机构
9f572633-0166-44f5-87e8-f27ca99674d0,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],5
0a056776-c23f-4796-bbea-78ef0cdad72b,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],1
583a033a-4981-4d32-9a04-0f5592341dbd,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16. 和平、正义与强大机构
a4a2d0cd-2d39-4d6c-bbf5-1b001826efd5,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16. 和平、正义与强大机构
2914d150-be46-4a3e-a1f0-40404e942323,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],5. 性别平等
048076cd-642f-4911-b090-bfecbc51a809,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16
f9f7d5b3-3bb1-42e3-82d2-a2540b378d04,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],17. 促进目标实现的伙伴关系
2a439a6a-b8c2-449e-b689-005866710b8c,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16
297bb7ce-0b09-414d-9b06-fabae6cedd3b,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],5. 性别平等
31c62ee1-0ca4-4cee-850b-4063423a3dbc,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],1
b0f50517-3e78-46a4-98d8-808f4560f9ac,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],10. 减少不平等
be188c13-c387-4b38-97d1-f090274b42f8,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16
0fbe3b41-4527-4f51-865e-931de3588126,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],17
13e9695a-6bf8-452a-a49f-90dd11bc8d03,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],5
369b9b23-1d8d-4250-be22-06301a0ddbc6,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16. 和平、正义与强大机构
1801899c-eed6-4a91-91bf-64f6b8f334e7,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16. 和平、正义与强大机构
5c67213b-6fd9-497a-bd54-1de58abf561c,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16
dfbb1ff7-3824-41e0-85a8-11b9e56fb4ce,zh,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],5. 性别平等
e2320dfe-389f-45fe-bb4a-f2b144e63807,zh,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],16
ccc63bbc-5c6f-4abd-9b79-2d4753b6c73e,zh,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],8
3d26b0d5-92f5-4de6-97a5-2948f898ea9e,zh,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],16
56dfc4c3-8c9e-4512-8d60-fbb052286857,zh,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],8
63eadeb7-b057-478f-aa6b-eb55fde74b44,zh,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],10. 减少不平等
6baabece-d125-47d4-97ae-604dcb98145d,zh,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],8
564a146b-5449-4ce4-ae8e-429f8bddcae0,zh,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],5. 性别平等
1c5820be-3ed5-4542-a723-199047a0f1f9,zh,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],8
f8f140fe-0abf-4bdb-bb06-90e6ad56a24b,zh,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],8
7e98ae9f-739d-49b3-bc1f-3b1b610dc269,zh,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],[16]
5506f0be-7726-43b9-91f7-c85e21128a8c,zh,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],8
2bce3800-483d-4fbd-8189-4d2349d8b8ab,zh,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],16
a6e6ba33-23a7-4c9f-89e1-4cc847857830,zh,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],17.
f88e3a04-8e3d-44c6-a053-4ec3e7d8a6a9,zh,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],16
d41a2df2-206e-4b67-a8e9-b17467f7f988,zh,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],10. 减少不平等
307803d7-6079-493d-b76f-6162726d1eee,zh,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],4
1979e950-d17f-44e1-8d4d-f7c29a647683,zh,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],8
b84067b3-c6e5-43ff-a530-8d19988f36a1,zh,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],5
dec66193-e278-4de5-817f-cdbfb8bcc102,zh,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],5. 性别平等
d5f3539f-e5c5-4818-83e2-822622de7dc0,zh,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],16
125ae8a1-943c-4b67-ac03-c6c91e31d73a,zh,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],8
1d48928b-bf16-4b72-95af-0e8288779d35,zh,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],16. 和平、正义与强大机构
126dc71c-8317-4b03-97bb-aadae63c19b8,zh,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],8
4172074b-17e8-4d69-8ed5-672ab7dcf052,zh,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],5
2b48b614-5c46-4d38-9729-5cf31bdcc0e4,zh,['785c628c-417f-4fc0-8f01-a091a3ef859a'],1
4549a299-11f1-48a1-b11b-a5a264d2bc6f,zh,['785c628c-417f-4fc0-8f01-a091a3ef859a'],1
328b604b-64fb-456d-976b-fe20326b17f9,zh,['785c628c-417f-4fc0-8f01-a091a3ef859a'],8
f010cd85-02b1-4127-bba0-8ac58a694c90,zh,['785c628c-417f-4fc0-8f01-a091a3ef859a'],1
b36a4343-1801-4836-a205-48735f37bd0a,zh,['785c628c-417f-4fc0-8f01-a091a3ef859a'],1
a0ed79ff-9928-4cf5-91e4-305c1338274c,zh,['785c628c-417f-4fc0-8f01-a091a3ef859a'],1
5a11b80a-cc40-497f-91a3-5116c3179187,zh,['785c628c-417f-4fc0-8f01-a091a3ef859a'],1
5a8624dc-caa4-4dfa-827b-6ad751754c47,zh,['785c628c-417f-4fc0-8f01-a091a3ef859a'],10
c1c87236-4b07-4dd0-b64e-82fecaa77e33,zh,['785c628c-417f-4fc0-8f01-a091a3ef859a'],1
6df9c740-9bb2-47a7-8937-c3d9a4fe8b68,zh,['785c628c-417f-4fc0-8f01-a091a3ef859a'],1
c99f8aa3-303c-448a-9b11-59d3b17356bc,zh,['785c628c-417f-4fc0-8f01-a091a3ef859a'],1
499285d6-65f9-4588-b805-8e97f0157d4c,zh,['785c628c-417f-4fc0-8f01-a091a3ef859a'],体面工作和经济增长
4d16e581-32af-41cb-9ded-9e4d7fc8325b,zh,['785c628c-417f-4fc0-8f01-a091a3ef859a'],无贫穷
4c3f75c1-cfba-468d-8ca6-5692634989b0,zh,['785c628c-417f-4fc0-8f01-a091a3ef859a'],[1]
3f062ad9-f1c1-4060-9980-18c8f493d140,zh,['785c628c-417f-4fc0-8f01-a091a3ef859a'],8
08c38738-8b61-4d5d-8a41-566f89e0e74e,zh,['785c628c-417f-4fc0-8f01-a091a3ef859a'],8
19450c54-d18f-4899-a909-59c84f4c2a08,zh,['785c628c-417f-4fc0-8f01-a091a3ef859a'],8
8319bee8-0a8d-4b12-a01f-c0046bf132e2,zh,['785c628c-417f-4fc0-8f01-a091a3ef859a'],1
c27d4ff2-c686-4a35-9cf9-7c931c516b28,zh,['785c628c-417f-4fc0-8f01-a091a3ef859a'],1
