language_1,language_2,same_family,feature_set
eng,fra,0,fam
eng,deu,0,fam
eng,spa,0,fam
eng,ita,0,fam
eng,nld,0,fam
eng,por,0,fam
eng,pol,0,fam
eng,swe,0,fam
eng,dan,0,fam
eng,nor,0,fam
eng,fin,0,fam
eng,ell,0,fam
eng,ron,0,fam
eng,mlt,0,fam
eng,hun,0,fam
eng,ces,0,fam
eng,slk,0,fam
eng,bul,0,fam
eng,hrv,0,fam
eng,lit,0,fam
eng,lav,0,fam
eng,est,0,fam
eng,isl,0,fam
eng,zho,0,fam
eng,ara,0,fam
eng,tur,0,fam
eng,hin,0,fam
eng,ben,0,fam
eng,jpn,0,fam
eng,kor,0,fam
eng,rus,0,fam
eng,urd,0,fam
eng,vie,0,fam
eng,tha,0,fam
eng,ind,0,fam
eng,fas,0,fam
fra,deu,0,fam
fra,spa,0,fam
fra,ita,0,fam
fra,nld,0,fam
fra,por,0,fam
fra,pol,0,fam
fra,swe,0,fam
fra,dan,0,fam
fra,nor,0,fam
fra,fin,0,fam
fra,ell,0,fam
fra,ron,0,fam
fra,mlt,0,fam
fra,hun,0,fam
fra,ces,0,fam
fra,slk,0,fam
fra,bul,0,fam
fra,hrv,0,fam
fra,lit,0,fam
fra,lav,0,fam
fra,est,0,fam
fra,isl,0,fam
fra,zho,0,fam
fra,ara,0,fam
fra,tur,0,fam
fra,hin,0,fam
fra,ben,0,fam
fra,jpn,0,fam
fra,kor,0,fam
fra,rus,0,fam
fra,urd,0,fam
fra,vie,0,fam
fra,tha,0,fam
fra,ind,0,fam
fra,fas,0,fam
deu,spa,0,fam
deu,ita,0,fam
deu,nld,0,fam
deu,por,0,fam
deu,pol,0,fam
deu,swe,0,fam
deu,dan,0,fam
deu,nor,0,fam
deu,fin,0,fam
deu,ell,0,fam
deu,ron,0,fam
deu,mlt,0,fam
deu,hun,0,fam
deu,ces,0,fam
deu,slk,0,fam
deu,bul,0,fam
deu,hrv,0,fam
deu,lit,0,fam
deu,lav,0,fam
deu,est,0,fam
deu,isl,0,fam
deu,zho,0,fam
deu,ara,0,fam
deu,tur,0,fam
deu,hin,0,fam
deu,ben,0,fam
deu,jpn,0,fam
deu,kor,0,fam
deu,rus,0,fam
deu,urd,0,fam
deu,vie,0,fam
deu,tha,0,fam
deu,ind,0,fam
deu,fas,0,fam
spa,ita,0,fam
spa,nld,0,fam
spa,por,0,fam
spa,pol,0,fam
spa,swe,0,fam
spa,dan,0,fam
spa,nor,0,fam
spa,fin,0,fam
spa,ell,0,fam
spa,ron,0,fam
spa,mlt,0,fam
spa,hun,0,fam
spa,ces,0,fam
spa,slk,0,fam
spa,bul,0,fam
spa,hrv,0,fam
spa,lit,0,fam
spa,lav,0,fam
spa,est,0,fam
spa,isl,0,fam
spa,zho,0,fam
spa,ara,0,fam
spa,tur,0,fam
spa,hin,0,fam
spa,ben,0,fam
spa,jpn,0,fam
spa,kor,0,fam
spa,rus,0,fam
spa,urd,0,fam
spa,vie,0,fam
spa,tha,0,fam
spa,ind,0,fam
spa,fas,0,fam
ita,nld,0,fam
ita,por,0,fam
ita,pol,0,fam
ita,swe,0,fam
ita,dan,0,fam
ita,nor,0,fam
ita,fin,0,fam
ita,ell,0,fam
ita,ron,0,fam
ita,mlt,0,fam
ita,hun,0,fam
ita,ces,0,fam
ita,slk,0,fam
ita,bul,0,fam
ita,hrv,0,fam
ita,lit,0,fam
ita,lav,0,fam
ita,est,0,fam
ita,isl,0,fam
ita,zho,0,fam
ita,ara,0,fam
ita,tur,0,fam
ita,hin,0,fam
ita,ben,0,fam
ita,jpn,0,fam
ita,kor,0,fam
ita,rus,0,fam
ita,urd,0,fam
ita,vie,0,fam
ita,tha,0,fam
ita,ind,0,fam
ita,fas,0,fam
nld,por,0,fam
nld,pol,0,fam
nld,swe,0,fam
nld,dan,0,fam
nld,nor,0,fam
nld,fin,0,fam
nld,ell,0,fam
nld,ron,0,fam
nld,mlt,0,fam
nld,hun,0,fam
nld,ces,0,fam
nld,slk,0,fam
nld,bul,0,fam
nld,hrv,0,fam
nld,lit,0,fam
nld,lav,0,fam
nld,est,0,fam
nld,isl,0,fam
nld,zho,0,fam
nld,ara,0,fam
nld,tur,0,fam
nld,hin,0,fam
nld,ben,0,fam
nld,jpn,0,fam
nld,kor,0,fam
nld,rus,0,fam
nld,urd,0,fam
nld,vie,0,fam
nld,tha,0,fam
nld,ind,0,fam
nld,fas,0,fam
por,pol,0,fam
por,swe,0,fam
por,dan,0,fam
por,nor,0,fam
por,fin,0,fam
por,ell,0,fam
