language_1,language_2,similarity,feature_set
eng,fra,0.8117540630909456,syntax_knn
eng,deu,0.9025419790150206,syntax_knn
eng,spa,0.8215938655409549,syntax_knn
eng,ita,0.8577941541015601,syntax_knn
eng,nld,0.9242930987335742,syntax_knn
eng,por,0.8423970023882502,syntax_knn
eng,pol,0.7863867486193535,syntax_knn
eng,swe,0.9334163073596636,syntax_knn
eng,dan,0.8800782326533971,syntax_knn
eng,nor,0.9097816785925638,syntax_knn
eng,fin,0.7107724707650861,syntax_knn
eng,ell,0.7830553464958117,syntax_knn
eng,ron,0.7959190572428001,syntax_knn
eng,mlt,0.6939542359352534,syntax_knn
eng,hun,0.6939542359352534,syntax_knn
eng,ces,0.7397954428741077,syntax_knn
eng,slk,0.8215938655409549,syntax_knn
eng,bul,0.8577941541015601,syntax_knn
eng,hrv,0.8318003918560583,syntax_knn
eng,lit,0.6932198240501807,syntax_knn
eng,lav,0.7538191051195529,syntax_knn
eng,est,0.7734020832408641,syntax_knn
eng,isl,0.868721908712883,syntax_knn
eng,zho,0.7107724707650861,syntax_knn
eng,ara,0.6509867769653881,syntax_knn
eng,tur,0.5067117097095317,syntax_knn
eng,hin,0.6161953991557161,syntax_knn
eng,ben,0.5834482328466171,syntax_knn
eng,jpn,0.5001930129390555,syntax_knn
eng,kor,0.5528230328172892,syntax_knn
eng,rus,0.8117540630909456,syntax_knn
eng,urd,0.6161953991557161,syntax_knn
eng,vie,0.6603302477064307,syntax_knn
eng,tha,0.6393620130910058,syntax_knn
eng,ind,0.7265477421488704,syntax_knn
eng,fas,0.5001930129390555,syntax_knn
fra,deu,0.8000553690695199,syntax_knn
fra,spa,0.8434347122457897,syntax_knn
fra,ita,0.8295150620062534,syntax_knn
fra,nld,0.7952384429746018,syntax_knn
fra,por,0.8647908694379514,syntax_knn
fra,pol,0.8095238095238096,syntax_knn
fra,swe,0.8010018789148142,syntax_knn
fra,dan,0.8010018789148142,syntax_knn
fra,nor,0.8051175601825401,syntax_knn
fra,fin,0.6918326955503611,syntax_knn
fra,ell,0.8240554958966418,syntax_knn
fra,ron,0.8193365776101957,syntax_knn
fra,mlt,0.7443873683187766,syntax_knn
fra,hun,0.6513389472789295,syntax_knn
fra,ces,0.7200822998230957,syntax_knn
fra,slk,0.7952384429746018,syntax_knn
fra,bul,0.80511756018254,syntax_knn
fra,hrv,0.8051175601825401,syntax_knn
fra,lit,0.7229440390678197,syntax_knn
fra,lav,0.7807200583588266,syntax_knn
fra,est,0.7509392614826383,syntax_knn
fra,isl,0.7906659377718412,syntax_knn
fra,zho,0.617707763884251,syntax_knn
fra,ara,0.741940826802374,syntax_knn
fra,tur,0.5506887917539348,syntax_knn
fra,hin,0.6506496351610378,syntax_knn
fra,ben,0.5952380952380953,syntax_knn
fra,jpn,0.4433944513137059,syntax_knn
fra,kor,0.46945790055203074,syntax_knn
fra,rus,0.8095238095238096,syntax_knn
fra,urd,0.6506496351610378,syntax_knn
fra,vie,0.6197797868009122,syntax_knn
fra,tha,0.6273764344284781,syntax_knn
fra,ind,0.7092081432669752,syntax_knn
fra,fas,0.5998866106008962,syntax_knn
deu,spa,0.7859370885787424,syntax_knn
deu,ita,0.8198127976897005,syntax_knn
deu,nld,0.9764672918705588,syntax_knn
deu,por,0.8058373793340822,syntax_knn
deu,pol,0.8000553690695198,syntax_knn
deu,swe,0.8905872527915281,syntax_knn
deu,dan,0.9153257875912928,syntax_knn
deu,nor,0.916261362123783,syntax_knn
deu,fin,0.7325794357582566,syntax_knn
deu,ell,0.7924058156930617,syntax_knn
deu,ron,0.8097533639902196,syntax_knn
deu,mlt,0.666710710313969,syntax_knn
deu,hun,0.7356807837947245,syntax_knn
deu,ces,0.7879092800517908,syntax_knn
deu,slk,0.8335696394016966,syntax_knn
deu,bul,0.8198127976897004,syntax_knn
deu,hrv,0.8439249387982211,syntax_knn
deu,lit,0.7383045377557884,syntax_knn
deu,lav,0.7957006565811798,syntax_knn
deu,est,0.7916331135924695,syntax_knn
deu,isl,0.879095322909908,syntax_knn
deu,zho,0.6349021776571557,syntax_knn
deu,ara,0.6254300845799426,syntax_knn
deu,tur,0.593724835194352,syntax_knn
deu,hin,0.6668557115213574,syntax_knn
deu,ben,0.6353380872022658,syntax_knn
deu,jpn,0.5670931884491137,syntax_knn
deu,kor,0.6104828631318805,syntax_knn
deu,rus,0.8235864093362705,syntax_knn
