annotationId,language,sdg_categories,predicted
11c54b4e-3aed-411f-bde9-8420bcf3e319,ar,['da6a1d11-83e8-4877-b3dd-36399f40c2ed'],الهدف 6 - نظافة المياه والصرف الصحي.
c4cddd46-d679-43e6-ae31-36764ecdd1d8,ar,['da6a1d11-83e8-4877-b3dd-36399f40c2ed'],الرمز: 11 - مدن ومجتمعات مستدامة.
41e53a73-b0ee-4d72-a7b5-0b888b4393f5,ar,['da6a1d11-83e8-4877-b3dd-36399f40c2ed'],الجواب هو: 6 - نظافة المياه والصرف الصحي.
67f36c6f-8cba-49aa-be0b-ce2f79b155b4,ar,['da6a1d11-83e8-4877-b3dd-36399f40c2ed'],الهدف 6: نظافة المياه والصرف الصحي.
506e553d-9d75-49c1-a921-f8c9c19ae180,ar,['da6a1d11-83e8-4877-b3dd-36399f40c2ed'],القضاء على الجوع (2)
8e90f47a-417e-4c59-a918-98559afc0626,ar,['da6a1d11-83e8-4877-b3dd-36399f40c2ed'],1 - القضاء على الفقر.
da17f174-8a20-4e4c-92b6-5733a215ce2b,ar,['da6a1d11-83e8-4877-b3dd-36399f40c2ed'],"الأهداف الأكثر صلة هو: [3 - الصحة الجيدة والرفاهية, 6 - نظافة المياه والصرف الصحي]."
a39e5ed0-4afd-4dbb-8824-83d5de1ff0f3,ar,['da6a1d11-83e8-4877-b3dd-36399f40c2ed'],الهدف: [8 - عمل لائق ونمو اقتصادي].
c142dec1-f946-4440-923e-aad0b26ac9a5,ar,['da6a1d11-83e8-4877-b3dd-36399f40c2ed'],حسناً. أهداف التنمية المستدامة هي مجموعة من الأهداف التي تقدمها الأمم المتحدة للتعرف على مسار العمل العالمي لتطوير المجتمع والقضاء على الفقر والتهميش والإجهاد الاجتماعي والاقتصادي في جميع أنحاء العالم. هذه الأهداف هي جزء من خطة عمل الأمين العام للأمم المتحدة من أجل التنمية المستدامة وسميت باسم أهداف التنمية المستدامة 2030، وتتضمن أهدافاً تعكس الأولويات والأهمية الحالية للتنمية المستدامة وتوفر مسارات للتغيير والتحسين.
afcca0ba-269e-4f8a-8206-5c912f700ffa,ar,['da6a1d11-83e8-4877-b3dd-36399f40c2ed'],المساواة بين الجنسين.
d8f2111d-bb44-4b9f-bbfd-750cf1afba9b,ar,['da6a1d11-83e8-4877-b3dd-36399f40c2ed'],"النص التالي ينتمي إلى الفئة ""6 - نظافة المياه والصرف الصحي""."
